trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
119,False,"{'e': 0.3024044356690215, 'a': 0.5}",20,11,16.647383036140674,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'e': 0.29938039131233124, 'a': 0.5}",25,0,-6.959775797264405,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
121,False,"{'e': 0.2963865873992079, 'a': 0.5}",20,0,-26.217369400815105,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",1
122,False,"{'e': 0.29342272152521587, 'a': 0.5}",25,10,-48.078286965258876,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
123,False,"{'e': 0.2904884943099637, 'a': 0.5}",25,11,16.54728326890451,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'e': 0.28758360936686406, 'a': 0.5}",30,18,11.528688981156769,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
125,False,"{'e': 0.2847077732731954, 'a': 0.5}",20,6,13.881340201745212,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'e': 0.28186069554046345, 'a': 0.5}",25,8,28.512034352622393,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'e': 0.2790420885850588, 'a': 0.5}",20,0,-29.665721753561222,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
128,False,"{'e': 0.2762516676992082, 'a': 0.5}",25,19,10.92675364618976,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'e': 0.27348915102221616, 'a': 0.5}",25,0,11.06664897986664,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
130,False,"{'e': 0.270754259511994, 'a': 0.5}",30,10,-32.70920783737691,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
131,False,"{'e': 0.26804671691687404, 'a': 0.5}",35,0,30.779342856446974,"{0: 32, 1: 1, 2: 2, 3: 0, 4: 0}",0
132,False,"{'e': 0.2653662497477053, 'a': 0.5}",20,8,-4.883828180916007,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
133,False,"{'e': 0.2627125872502282, 'a': 0.5}",25,8,-9.776731072167676,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
134,False,"{'e': 0.2600854613777259, 'a': 0.5}",30,5,-35.66123994857806,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",1
135,False,"{'e': 0.2574846067639487, 'a': 0.5}",25,12,-0.3411529842271277,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
136,False,"{'e': 0.2549097606963092, 'a': 0.5}",20,6,-33.76301417603996,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
137,False,"{'e': 0.2523606630893461, 'a': 0.5}",20,8,19.51671336732435,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'e': 0.24983705645845267, 'a': 0.5}",25,14,8.72129966989283,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
139,False,"{'e': 0.24733868589386815, 'a': 0.5}",30,14,25.445439274427986,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'e': 0.24486529903492946, 'a': 0.5}",20,6,3.0837907000523272,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
141,False,"{'e': 0.24241664604458016, 'a': 0.5}",20,0,20.69909154568303,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
142,False,"{'e': 0.23999247958413436, 'a': 0.5}",20,0,-17.74742719277124,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
143,False,"{'e': 0.23759255478829303, 'a': 0.5}",20,10,5.001198252847276,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'e': 0.2352166292404101, 'a': 0.5}",30,6,14.17977654758016,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 0}",1
145,False,"{'e': 0.232864462948006, 'a': 0.5}",20,10,-33.43317940369351,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
